,date,slice id,state,filename,file key
0,2019-05-10,Slice1c1,6ohda,dataset/2019-05-10_NS/2019-05-10 Slice1c1.hdf5,000050 f-I curve +20~+300
1,2019-05-10,Slice1c1,6ohda,dataset/2019-05-10_NS/2019-05-10 Slice1c1.hdf5,000051 f-I curve +20~+300
2,2019-05-10,Slice1c1,6ohda,dataset/2019-05-10_NS/2019-05-10 Slice1c1.hdf5,000052 f-I curve +20~+300
3,2019-05-10,Slice1c1,6ohda,dataset/2019-05-10_NS/2019-05-10 Slice1c1.hdf5,000054 f-I curve +20~+300
4,2019-05-10,Slice1c1,6ohda,dataset/2019-05-10_NS/2019-05-10 Slice1c1.hdf5,000055 f-I curve +20~+300
5,2019-05-10,Slice1c1,6ohda,dataset/2019-05-10_NS/2019-05-10 Slice1c1.hdf5,000056 f-I curve +20~+300
6,2019-05-10,Slice1c1,6ohda,dataset/2019-05-10_NS/2019-05-10 Slice1c1.hdf5,000057 f-I curve +20~+300
7,2019-05-10,Slice1c1,6ohda,dataset/2019-05-10_NS/2019-05-10 Slice1c1.hdf5,000058 f-I curve +20~+300
8,2019-05-10,Slice1c1,6ohda,dataset/2019-05-10_NS/2019-05-10 Slice1c1.hdf5,000059 f-I curve +20~+300
9,2019-03-07,Slice1c2,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c2.hdf5,000061 f-I curve +20~+300
10,2019-03-07,Slice1c2,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c2.hdf5,000062 f-I curve +20~+300
11,2019-03-07,Slice1c2,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c2.hdf5,000063 f-I curve +20~+300
12,2019-03-07,Slice1c2,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c2.hdf5,000064 f-I curve +20~+300
13,2019-03-07,Slice1c2,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c2.hdf5,000065 f-I curve +20~+300
14,2019-03-07,Slice1c2,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c2.hdf5,000066 f-I curve +20~+300
15,2019-03-07,Slice1c2,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c2.hdf5,000067 f-I curve +20~+300
16,2019-03-07,Slice1c2,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c2.hdf5,000068 f-I curve +20~+300
17,2019-03-07,Slice1c2,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c2.hdf5,000069 f-I curve +20~+300
18,2019-03-07,Slice1c1,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c1.hdf5,000012 f-I curve +20~+300
19,2019-03-07,Slice1c1,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c1.hdf5,000013 f-I curve +20~+300
20,2019-03-07,Slice1c1,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c1.hdf5,000014 f-I curve +20~+300
21,2019-03-07,Slice1c1,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c1.hdf5,000015 f-I curve +20~+300
22,2019-03-07,Slice1c1,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c1.hdf5,000016 f-I curve +20~+300
23,2019-03-07,Slice1c1,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c1.hdf5,000017 f-I curve +20~+300
24,2019-03-07,Slice1c1,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c1.hdf5,000018 f-I curve +20~+300
25,2019-03-07,Slice1c1,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c1.hdf5,000019 f-I curve +20~+300
26,2019-03-07,Slice1c1,6ohda,dataset/2019-03-07_NS/2019-03-07 Slice1c1.hdf5,000020 f-I curve +20~+300
27,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000001 f-I curve +20~+300
28,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000002 f-I curve +20~+300
29,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000003 f-I curve +20~+300
30,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000004 f-I curve +20~+300
31,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000005 f-I curve +20~+300
32,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000006 f-I curve +20~+300
33,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000007 f-I curve +20~+300
34,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000008 f-I curve +20~+300
35,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000009 f-I curve +20~+300
36,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000010 f-I curve +20~+300
37,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000011 f-I curve +20~+300
38,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000012 f-I curve +20~+300
39,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000013 f-I curve +20~+300
40,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000014 f-I curve +20~+300
41,2018-01-05,Slice1c2,6ohda,dataset/2018-01-05_NS/2018-01-05 Slice1c2fI.hdf5,000015 f-I curve +20~+300
42,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000021 f-I curve +20~+300
43,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000022 f-I curve +20~+300
44,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000023 f-I curve +20~+300
45,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000024 f-I curve +20~+300
46,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000025 f-I curve +20~+300
47,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000026 f-I curve +20~+300
48,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000027 f-I curve +20~+300
49,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000028 f-I curve +20~+300
50,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000029 f-I curve +20~+300
51,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000030 f-I curve +20~+300
52,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000031 f-I curve +20~+300
53,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000032 f-I curve +20~+300
54,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000033 f-I curve +20~+300
55,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000034 f-I curve +20~+300
56,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000035 f-I curve +20~+300
57,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000036 f-I curve +20~+300
58,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000037 f-I curve +20~+300
59,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000038 f-I curve +20~+300
60,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000039 f-I curve +20~+300
