,etype,cellid,seed,state,protocol,amplitude,duration,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim
0,control_719,5536,0,normal,fi,20,2000,0,0,0,-67.40003067028398,-68.19230304278234
0,control_719,5536,0,normal,fi,40,2000,0,0,0,-67.40003067028398,-68.58726366991739
0,control_719,5536,0,normal,fi,60,2000,2,0,0,-67.40003067028398,-69.08162249428273
0,control_719,5536,0,normal,fi,80,2000,8,0,0,-67.40003067028398,-69.71264817817634
0,control_719,5536,0,normal,fi,100,2000,15,0,0,-67.40003067028398,-70.24598006594091
0,control_719,5536,0,normal,fi,120,2000,20,0,0,-67.40003067028398,-70.61682458437593
0,control_719,5536,0,normal,fi,140,2000,24,0,0,-67.40003067028398,-70.88659534931837
0,control_719,5536,0,normal,fi,160,2000,28,0,0,-67.40003067028398,-71.14976515266586
0,control_719,5536,0,normal,fi,180,2000,32,0,0,-67.40003067028398,-71.40933532120492
0,control_719,5536,0,normal,fi,200,2000,35,0,0,-67.40003067028398,-71.58650444318693
0,control_719,5536,0,normal,fi,220,2000,39,0,0,-67.40003067028398,-71.81158995896666
0,control_719,5536,0,normal,fi,240,2000,42,0,0,-67.40003067028398,-71.96815165179699
0,control_719,5536,0,normal,fi,260,2000,45,0,0,-67.40003067028398,-72.14887024986743
0,control_719,5536,0,normal,fi,280,2000,49,0,0,-67.40003067028398,-72.33704416514446
0,control_719,5536,0,normal,fi,300,2000,52,0,0,-67.40003067028398,-72.47856528563717
0,control_719,5536,0,normal,tburst,-50,2000,0,0,0,-67.40003067028398,-66.98964676653338
0,control_719,5536,0,normal,tburst,-100,2000,1,0,1,-67.40003067028398,-66.77639237866427
0,control_719,5536,0,normal,tburst,-150,2000,3,0,3,-67.40003067028398,-66.6230000836897
0,control_719,5536,0,normal,tburst,-200,2000,5,0,5,-67.40003067028398,-66.34840245846284
0,control_719,5536,0,normal,tburst,-250,2000,5,0,5,-67.40003067028398,-65.56858555138865
0,control_719,5536,0,normal,tburst,-300,2000,6,0,6,-67.40003067028398,-65.10436376769347
0,control_719,5536,0,normal,tburst,-50,500,0,0,0,-67.40003067028398,-67.58900644899609
0,control_719,5536,0,normal,tburst,-100,500,2,0,2,-67.40003067028398,-67.72534388034069
0,control_719,5536,0,normal,tburst,-150,500,4,0,4,-67.40003067028398,-67.73536669000354
0,control_719,5536,0,normal,tburst,-200,500,5,0,5,-67.40003067028398,-67.49496067900654
0,control_719,5536,0,normal,tburst,-250,500,5,0,5,-67.40003067028398,-67.04598876791134
0,control_719,5536,0,normal,tburst,-300,500,6,0,6,-67.40003067028398,-66.77105126481686
0,control_719,5536,0,normal,tburst,-50,200,0,0,0,-67.40003067028398,-67.67835439298211
0,control_719,5536,0,normal,tburst,-100,200,0,0,0,-67.40003067028398,-67.68509126245154
0,control_719,5536,0,normal,tburst,-150,200,2,0,2,-67.40003067028398,-67.7853116037088
0,control_719,5536,0,normal,tburst,-200,200,3,0,3,-67.40003067028398,-67.72726349046143
0,control_719,5536,0,normal,tburst,-250,200,4,0,4,-67.40003067028398,-67.61424268273777
0,control_719,5536,0,normal,tburst,-300,200,4,0,4,-67.40003067028398,-67.22579102359508
0,control_719,5536,0,normal,rmih,-50,2000,0,0,0,-77.92380818167956,-76.5363862271181
