,etype,cellid,seed,state,protocol,amplitude,duration,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim
0,control_719,5536,0,normal,fi,20,2000,1,0,0,-65.25212338054044,-66.54239691902569
0,control_719,5536,0,normal,fi,40,2000,11,0,1,-65.25212338054044,-67.86089355996143
0,control_719,5536,0,normal,fi,60,2000,17,0,0,-65.25212338054044,-68.49535063848192
0,control_719,5536,0,normal,fi,80,2000,22,0,0,-65.25212338054044,-68.97063669545788
0,control_719,5536,0,normal,fi,100,2000,26,0,0,-65.25212338054044,-69.3060042922216
0,control_719,5536,0,normal,fi,120,2000,31,0,0,-65.25212338054044,-69.7362837020658
0,control_719,5536,0,normal,fi,140,2000,35,0,0,-65.25212338054044,-70.04217746327852
0,control_719,5536,0,normal,fi,160,2000,39,0,0,-65.25212338054044,-70.3361889660559
0,control_719,5536,0,normal,fi,180,2000,43,0,0,-65.25212338054044,-70.61568552496023
0,control_719,5536,0,normal,fi,200,2000,47,0,0,-65.25212338054044,-70.87489107918584
0,control_719,5536,0,normal,fi,220,2000,50,0,0,-65.25212338054044,-71.06226263340216
0,control_719,5536,0,normal,fi,240,2000,54,0,0,-65.25212338054044,-71.30716791371051
0,control_719,5536,0,normal,fi,260,2000,57,0,0,-65.25212338054044,-71.48460400653745
0,control_719,5536,0,normal,fi,280,2000,60,0,0,-65.25212338054044,-71.65945044369998
0,control_719,5536,0,normal,fi,300,2000,64,0,0,-65.25212338054044,-71.87157224568271
0,control_719,5536,0,normal,tburst,-50,2000,0,0,0,-65.25212338054044,-64.48174687621687
0,control_719,5536,0,normal,tburst,-100,2000,2,0,2,-65.25212338054044,-64.19788761183281
0,control_719,5536,0,normal,tburst,-150,2000,4,0,4,-65.25212338054044,-63.90074494189837
0,control_719,5536,0,normal,tburst,-200,2000,5,0,5,-65.25212338054044,-63.08633566141609
0,control_719,5536,0,normal,tburst,-250,2000,6,0,6,-65.25212338054044,-62.33082975605482
0,control_719,5536,0,normal,tburst,-300,2000,7,0,7,-65.25212338054044,-62.02151548084268
0,control_719,5536,0,normal,tburst,-50,500,0,0,0,-65.25212338054044,-65.44894723889094
0,control_719,5536,0,normal,tburst,-100,500,2,0,2,-65.25212338054044,-65.57471359265479
0,control_719,5536,0,normal,tburst,-150,500,4,0,4,-65.25212338054044,-65.54806236132222
0,control_719,5536,0,normal,tburst,-200,500,5,0,5,-65.25212338054044,-65.22966012004692
0,control_719,5536,0,normal,tburst,-250,500,6,0,6,-65.25212338054044,-64.8354407426956
0,control_719,5536,0,normal,tburst,-300,500,6,0,6,-65.25212338054044,-64.23340448732763
0,control_719,5536,0,normal,tburst,-50,200,0,0,0,-65.25212338054044,-65.59190407470354
0,control_719,5536,0,normal,tburst,-100,200,1,0,1,-65.25212338054044,-65.66326354176333
0,control_719,5536,0,normal,tburst,-150,200,3,0,3,-65.25212338054044,-65.85141803298964
0,control_719,5536,0,normal,tburst,-200,200,4,0,4,-65.25212338054044,-65.75581367363044
0,control_719,5536,0,normal,tburst,-250,200,4,0,4,-65.25212338054044,-65.3463452976885
0,control_719,5536,0,normal,tburst,-300,200,5,0,5,-65.25212338054044,-65.05436660674592
0,control_719,5536,0,normal,rmih,-50,2000,0,0,0,-77.62743320666046,-76.12543019595256
0,control_719,5536,0,normal,rmih,-100,2000,0,0,0,-77.62743320666046,-74.9160655962633
0,control_719,5536,0,normal,rmih,-150,2000,2,0,2,-77.62743320666046,-75.39141776551938
0,control_719,5536,0,normal,rmih,-200,2000,4,0,4,-77.62743320666046,-74.94619942913172
0,control_719,6072,0,normal,fi,20,2000,0,0,0,-64.58849650489636,-65.57647022772923
0,control_719,6072,0,normal,fi,40,2000,2,0,0,-64.58849650489636,-66.35549710278498
0,control_719,6072,0,normal,fi,60,2000,9,0,0,-64.58849650489636,-67.29546276435657
0,control_719,6072,0,normal,fi,80,2000,10,0,0,-64.58849650489636,-67.89877111320557
0,control_719,6072,0,normal,fi,100,2000,12,0,0,-64.58849650489636,-68.20672712997
0,control_719,6072,0,normal,fi,120,2000,13,0,0,-64.58849650489636,-68.47389298044811
0,control_719,6072,0,normal,fi,140,2000,15,0,0,-64.58849650489636,-68.69108052330913
0,control_719,6072,0,normal,fi,160,2000,17,0,0,-64.58849650489636,-68.8693646845662
0,control_719,6072,0,normal,fi,180,2000,19,0,0,-64.58849650489636,-69.06201870852968
0,control_719,6072,0,normal,fi,200,2000,21,0,0,-64.58849650489636,-69.24046995868072
0,control_719,6072,0,normal,fi,220,2000,23,0,0,-64.58849650489636,-69.39649997937036
0,control_719,6072,0,normal,fi,240,2000,25,0,0,-64.58849650489636,-69.62116068346735
0,control_719,6072,0,normal,fi,260,2000,28,0,0,-64.58849650489636,-69.7920851939465
0,control_719,6072,0,normal,fi,280,2000,29,0,0,-64.58849650489636,-69.8560023833498
0,control_719,6072,0,normal,fi,300,2000,30,0,0,-64.58849650489636,-69.9452719879095
0,control_719,6072,0,normal,tburst,-50,2000,0,0,0,-64.58849650489636,-64.052088455847
0,control_719,6072,0,normal,tburst,-100,2000,2,0,2,-64.58849650489636,-64.04732839012179
0,control_719,6072,0,normal,tburst,-150,2000,5,0,5,-64.58849650489636,-64.21099496060873
0,control_719,6072,0,normal,tburst,-200,2000,7,0,7,-64.58849650489636,-63.899500312214286
0,control_719,6072,0,normal,tburst,-250,2000,8,0,8,-64.58849650489636,-63.372410336439884
0,control_719,6072,0,normal,tburst,-300,2000,9,0,9,-64.58849650489636,-62.89948378873267
0,control_719,6072,0,normal,tburst,-50,500,0,0,0,-64.58849650489636,-64.80898362112957
0,control_719,6072,0,normal,tburst,-100,500,3,0,3,-64.58849650489636,-65.14302542564054
0,control_719,6072,0,normal,tburst,-150,500,5,0,5,-64.58849650489636,-65.23329762355905
0,control_719,6072,0,normal,tburst,-200,500,7,0,7,-64.58849650489636,-65.09660663251063
0,control_719,6072,0,normal,tburst,-250,500,8,0,8,-64.58849650489636,-64.78132550802441
0,control_719,6072,0,normal,tburst,-300,500,8,0,8,-64.58849650489636,-64.3250089291356
0,control_719,6072,0,normal,tburst,-50,200,0,0,0,-64.58849650489636,-64.92094414193994
0,control_719,6072,0,normal,tburst,-100,200,1,0,1,-64.58849650489636,-65.02928484126507
0,control_719,6072,0,normal,tburst,-150,200,3,0,3,-64.58849650489636,-65.19944388109603
0,control_719,6072,0,normal,tburst,-200,200,4,0,4,-64.58849650489636,-65.22984718635995
0,control_719,6072,0,normal,tburst,-250,200,5,0,5,-64.58849650489636,-65.04299508115561
0,control_719,6072,0,normal,tburst,-300,200,6,0,6,-64.58849650489636,-64.77019897577044
0,control_719,6072,0,normal,rmih,-50,2000,0,0,0,-78.19576953364835,-76.98373408351381
0,control_719,6072,0,normal,rmih,-100,2000,0,0,0,-78.19576953364835,-75.96845805824029
0,control_719,6072,0,normal,rmih,-150,2000,0,0,0,-78.19576953364835,-75.0127856076795
0,control_719,6072,0,normal,rmih,-200,2000,4,0,4,-78.19576953364835,-76.11550892129465
0,control_719,6616,0,normal,fi,20,2000,0,0,0,-62.4974096064744,-63.466048159557076
0,control_719,6616,0,normal,fi,40,2000,13,0,0,-62.4974096064744,-64.27681332044047
0,control_719,6616,0,normal,fi,60,2000,25,0,0,-62.4974096064744,-64.59763938816711
0,control_719,6616,0,normal,fi,80,2000,34,0,0,-62.4974096064744,-64.8448733492538
0,control_719,6616,0,normal,fi,100,2000,43,0,0,-62.4974096064744,-65.06781748456982
0,control_719,6616,0,normal,fi,120,2000,50,0,0,-62.4974096064744,-65.24520113403341
0,control_719,6616,0,normal,fi,140,2000,57,0,0,-62.4974096064744,-65.42698299890613
0,control_719,6616,0,normal,fi,160,2000,63,0,0,-62.4974096064744,-65.58011394873044
0,control_719,6616,0,normal,fi,180,2000,68,0,0,-62.4974096064744,-65.7221929510042
0,control_719,6616,0,normal,fi,200,2000,74,0,0,-62.4974096064744,-65.86171217886778
0,control_719,6616,0,normal,fi,220,2000,79,0,0,-62.4974096064744,-65.98889328992558
0,control_719,6616,0,normal,fi,240,2000,83,0,0,-62.4974096064744,-66.10361382260547
0,control_719,6616,0,normal,fi,260,2000,88,0,0,-62.4974096064744,-66.21637628121488
0,control_719,6616,0,normal,fi,280,2000,92,0,0,-62.4974096064744,-66.31924741212559
0,control_719,6616,0,normal,fi,300,2000,97,0,1,-62.4974096064744,-66.44171202381021
0,control_719,6616,0,normal,tburst,-50,2000,0,0,0,-62.4974096064744,-62.07462832091879
0,control_719,6616,0,normal,tburst,-100,2000,1,0,1,-62.4974096064744,-61.45535241078208
0,control_719,6616,0,normal,tburst,-150,2000,3,0,3,-62.4974096064744,-60.919613687928525
0,control_719,6616,0,normal,tburst,-200,2000,5,0,5,-62.4974096064744,-60.19651728350519
0,control_719,6616,0,normal,tburst,-250,2000,6,0,6,-62.4974096064744,-59.36454719670505
0,control_719,6616,0,normal,tburst,-300,2000,7,0,7,-62.4974096064744,-58.657905193986466
0,control_719,6616,0,normal,tburst,-50,500,0,0,0,-62.4974096064744,-62.73909569632798
0,control_719,6616,0,normal,tburst,-100,500,1,0,1,-62.4974096064744,-62.716382395362544
0,control_719,6616,0,normal,tburst,-150,500,4,0,4,-62.4974096064744,-62.6456486541694
0,control_719,6616,0,normal,tburst,-200,500,6,0,6,-62.4974096064744,-62.35068713090664
0,control_719,6616,0,normal,tburst,-250,500,6,0,6,-62.4974096064744,-61.89389984604024
0,control_719,6616,0,normal,tburst,-300,500,7,0,7,-62.4974096064744,-61.50939416378782
0,control_719,6616,0,normal,tburst,-50,200,0,0,0,-62.4974096064744,-62.838653877403274
0,control_719,6616,0,normal,tburst,-100,200,1,0,1,-62.4974096064744,-62.874979935551394
0,control_719,6616,0,normal,tburst,-150,200,3,0,3,-62.4974096064744,-62.90210533315646
0,control_719,6616,0,normal,tburst,-200,200,4,0,4,-62.4974096064744,-62.718064913820506
0,control_719,6616,0,normal,tburst,-250,200,4,0,4,-62.4974096064744,-62.50596936789255
0,control_719,6616,0,normal,tburst,-300,200,5,0,5,-62.4974096064744,-62.045854876705
0,control_719,6616,0,normal,rmih,-50,2000,0,0,0,-74.20065199095112,-72.93352646671055
0,control_719,6616,0,normal,rmih,-100,2000,0,0,0,-74.20065199095112,-71.69623298806208
0,control_719,6616,0,normal,rmih,-150,2000,3,0,3,-74.20065199095112,-71.74765949974243
0,control_719,6616,0,normal,rmih,-200,2000,4,0,4,-74.20065199095112,-70.82438691910791
0,control_719,12117,0,normal,fi,20,2000,20,4,1,-61.58409541149516,-60.725518637352806
0,control_719,12117,0,normal,fi,40,2000,27,4,0,-61.58409541149516,-61.38525247866761
0,control_719,12117,0,normal,fi,60,2000,33,4,0,-61.58409541149516,-61.82838504197919
0,control_719,12117,0,normal,fi,80,2000,37,4,0,-61.58409541149516,-62.073579021904806
0,control_719,12117,0,normal,fi,100,2000,41,4,0,-61.58409541149516,-62.29877514152275
0,control_719,12117,0,normal,fi,120,2000,44,4,0,-61.58409541149516,-62.45844394361211
0,control_719,12117,0,normal,fi,140,2000,47,4,0,-61.58409541149516,-62.606700220671065
0,control_719,12117,0,normal,fi,160,2000,50,4,1,-61.58409541149516,-62.8124999296323
0,control_719,12117,0,normal,fi,180,2000,52,4,0,-61.58409541149516,-62.83887443941955
0,control_719,12117,0,normal,fi,200,2000,54,4,0,-61.58409541149516,-62.93527842343928
0,control_719,12117,0,normal,fi,220,2000,56,4,0,-61.58409541149516,-63.02436968564124
0,control_719,12117,0,normal,fi,240,2000,58,4,0,-61.58409541149516,-63.106256853657065
0,control_719,12117,0,normal,fi,260,2000,60,4,0,-61.58409541149516,-63.175291761003365
0,control_719,12117,0,normal,fi,280,2000,61,4,0,-61.58409541149516,-63.2610728185713
0,control_719,12117,0,normal,fi,300,2000,63,4,0,-61.58409541149516,-63.320449354490556
0,control_719,12117,0,normal,tburst,-50,2000,1,4,5,-61.58409541149516,-59.99181161628632
0,control_719,12117,0,normal,tburst,-100,2000,2,4,7,-61.58409541149516,-59.71552411151313
0,control_719,12117,0,normal,tburst,-150,2000,4,4,9,-61.58409541149516,-59.82853011790143
0,control_719,12117,0,normal,tburst,-200,2000,5,4,11,-61.58409541149516,-59.66240732762732
0,control_719,12117,0,normal,tburst,-250,2000,5,4,12,-61.58409541149516,-58.924594324074306
0,control_719,12117,0,normal,tburst,-300,2000,6,4,13,-61.58409541149516,-59.258839950032204
0,control_719,12117,0,normal,tburst,-50,500,1,4,9,-61.58409541149516,-60.181291187746666
0,control_719,12117,0,normal,tburst,-100,500,3,4,11,-61.58409541149516,-60.21940786949099
0,control_719,12117,0,normal,tburst,-150,500,4,4,14,-61.58409541149516,-59.92148410707745
0,control_719,12117,0,normal,tburst,-200,500,5,4,16,-61.58409541149516,-59.80307049485099
0,control_719,12117,0,normal,tburst,-250,500,5,4,18,-61.58409541149516,-59.623058566875656
0,control_719,12117,0,normal,tburst,-300,500,5,4,19,-61.58409541149516,-59.7207469312266
0,control_719,12117,0,normal,tburst,-50,200,1,4,9,-61.58409541149516,-60.18874715681423
0,control_719,12117,0,normal,tburst,-100,200,2,4,11,-61.58409541149516,-59.769808770506415
0,control_719,12117,0,normal,tburst,-150,200,3,4,13,-61.58409541149516,-59.80433153898984
0,control_719,12117,0,normal,tburst,-200,200,4,4,15,-61.58409541149516,-59.75747476850934
0,control_719,12117,0,normal,tburst,-250,200,4,4,17,-61.58409541149516,-59.602710035892486
0,control_719,12117,0,normal,tburst,-300,200,5,4,19,-61.58409541149516,-59.713089309037905
0,control_719,12117,0,normal,rmih,-50,2000,0,0,0,-74.70426700659544,-72.78255263306541
0,control_719,12117,0,normal,rmih,-100,2000,2,0,2,-74.70426700659544,-72.00458479862735
