,etype,cellid,seed,state,protocol,amplitude,duration,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim
0,control_719,1781,1,normal,fi,20,2000,0,0,0,-66.6922393921575,-66.88002215422297
0,control_719,1781,1,normal,fi,40,2000,0,0,0,-66.6922393921575,-66.92285814242312
0,control_719,1781,1,normal,fi,60,2000,0,0,0,-66.6922393921575,-66.97845675094801
0,control_719,1781,1,normal,fi,80,2000,0,0,0,-66.6922393921575,-67.03102279922426
0,control_719,1781,1,normal,fi,100,2000,0,0,0,-66.6922393921575,-67.08525389328125
0,control_719,1781,1,normal,fi,120,2000,0,0,0,-66.6922393921575,-67.14653705636054
0,control_719,1781,1,normal,fi,140,2000,1,0,0,-66.6922393921575,-67.22682261484618
0,control_719,1781,1,normal,fi,160,2000,2,0,0,-66.6922393921575,-67.32567734915365
0,control_719,1781,1,normal,fi,180,2000,4,0,0,-66.6922393921575,-67.45804665756506
0,control_719,1781,1,normal,fi,200,2000,6,0,0,-66.6922393921575,-67.59327167153205
0,control_719,1781,1,normal,fi,220,2000,8,0,0,-66.6922393921575,-67.72904941001124
0,control_719,1781,1,normal,fi,240,2000,10,0,0,-66.6922393921575,-67.8543437777722
0,control_719,1781,1,normal,fi,260,2000,11,0,0,-66.6922393921575,-67.97077926245234
0,control_719,1781,1,normal,fi,280,2000,12,0,0,-66.6922393921575,-68.07360076200098
0,control_719,1781,1,normal,fi,300,2000,14,0,0,-66.6922393921575,-68.1694009807277
0,control_719,1781,1,normal,tburst,-50,2000,0,0,0,-66.6922393921575,-66.72277348462231
0,control_719,1781,1,normal,tburst,-100,2000,0,0,0,-66.6922393921575,-66.61601075910984
0,control_719,1781,1,normal,tburst,-150,2000,0,0,0,-66.6922393921575,-66.53752113675172
0,control_719,1781,1,normal,tburst,-200,2000,2,0,2,-66.6922393921575,-66.56891241393399
0,control_719,1781,1,normal,tburst,-250,2000,3,0,3,-66.6922393921575,-66.53713906759035
0,control_719,1781,1,normal,tburst,-300,2000,5,0,5,-66.6922393921575,-66.42740149797004
0,control_719,1781,1,normal,tburst,-50,500,0,0,0,-66.6922393921575,-66.79088158891888
0,control_719,1781,1,normal,tburst,-100,500,0,0,0,-66.6922393921575,-66.76969588441192
0,control_719,1781,1,normal,tburst,-150,500,0,0,0,-66.6922393921575,-66.75585997338077
0,control_719,1781,1,normal,tburst,-200,500,2,0,2,-66.6922393921575,-66.79416328034182
0,control_719,1781,1,normal,tburst,-250,500,3,0,3,-66.6922393921575,-66.79529617484012
0,control_719,1781,1,normal,tburst,-300,500,5,0,5,-66.6922393921575,-66.81039679310277
0,control_719,1781,1,normal,tburst,-50,200,0,0,0,-66.6922393921575,-66.79883893453234
0,control_719,1781,1,normal,tburst,-100,200,0,0,0,-66.6922393921575,-66.79033098571566
0,control_719,1781,1,normal,tburst,-150,200,0,0,0,-66.6922393921575,-66.78606891665743
0,control_719,1781,1,normal,tburst,-200,200,1,0,1,-66.6922393921575,-66.81230720722174
0,control_719,1781,1,normal,tburst,-250,200,2,0,2,-66.6922393921575,-66.82438349708374
0,control_719,1781,1,normal,tburst,-300,200,3,0,3,-66.6922393921575,-66.82914464879026
0,control_719,1781,1,normal,rmih,-50,2000,0,0,0,-71.95559184972788,-71.89189548139906
0,control_719,1781,1,normal,rmih,-100,2000,0,0,0,-71.95559184972788,-71.74422429574538
0,control_719,1781,1,normal,rmih,-150,2000,0,0,0,-71.95559184972788,-71.61648186539136
0,control_719,1781,1,normal,rmih,-200,2000,3,0,3,-71.95559184972788,-71.6973270144091
0,control_719,2111,3,normal,fi,20,2000,0,0,0,-69.91457764860986,-70.17314089866785
0,control_719,2111,3,normal,fi,40,2000,0,0,0,-69.91457764860986,-70.31765076053632
0,control_719,2111,3,normal,fi,60,2000,0,0,0,-69.91457764860986,-70.46829402418682
0,control_719,2111,3,normal,fi,80,2000,1,0,0,-69.91457764860986,-70.63716177651128
0,control_719,2111,3,normal,fi,100,2000,2,0,0,-69.91457764860986,-70.80994633493454
0,control_719,2111,3,normal,fi,120,2000,3,0,0,-69.91457764860986,-70.99593054200689
0,control_719,2111,3,normal,fi,140,2000,4,0,0,-69.91457764860986,-71.17653814606992
0,control_719,2111,3,normal,fi,160,2000,5,0,0,-69.91457764860986,-71.38058792005096
0,control_719,2111,3,normal,fi,180,2000,11,0,0,-69.91457764860986,-71.65704689329392
0,control_719,2111,3,normal,fi,200,2000,17,0,0,-69.91457764860986,-71.76858115336539
0,control_719,2111,3,normal,fi,220,2000,21,0,0,-69.91457764860986,-71.91244494666628
0,control_719,2111,3,normal,fi,240,2000,25,0,0,-69.91457764860986,-72.05440686256014
0,control_719,2111,3,normal,fi,260,2000,28,0,0,-69.91457764860986,-72.14944122519968
0,control_719,2111,3,normal,fi,280,2000,32,0,0,-69.91457764860986,-72.22289430780975
0,control_719,2111,3,normal,fi,300,2000,36,0,0,-69.91457764860986,-72.38456756705918
0,control_719,2111,3,normal,tburst,-50,2000,0,0,0,-69.91457764860986,-69.74382304792155
