,etype,cellid,seed,state,protocol,amplitude,duration,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim
0,control_719,1781,1,normal,fi,20,2000,0,0,0,-68.77787188103238,-68.98309021405197
0,control_719,1781,1,normal,fi,40,2000,0,0,0,-68.7777492293323,-69.03806852711034
0,control_719,1781,1,normal,fi,60,2000,0,0,0,-68.77762534648248,-69.08847347801536
0,control_719,1781,1,normal,fi,80,2000,0,0,0,-68.77750214724449,-69.14919983379325
0,control_719,1781,1,normal,fi,100,2000,0,0,0,-68.77737994423251,-69.20688887245639
0,control_719,1781,1,normal,fi,120,2000,0,0,0,-68.77725719207571,-69.27673126923281
0,control_719,1781,1,normal,fi,140,2000,1,0,0,-68.77713453803645,-69.36383651929499
0,control_719,1781,1,normal,fi,160,2000,2,0,0,-68.77701284958411,-69.47890868756072
0,control_719,1781,1,normal,fi,180,2000,4,0,0,-68.7768898216792,-69.64528193434381
0,control_719,1781,1,normal,fi,200,2000,7,0,0,-68.77676987646798,-69.83681217982105
0,control_719,1781,1,normal,fi,220,2000,9,0,0,-68.77664766052887,-69.97202157711038
0,control_719,1781,1,normal,fi,240,2000,7,0,0,-68.77652339296554,-70.08321170541424
0,control_719,1781,1,normal,fi,260,2000,13,0,0,-68.7764032623123,-70.17574634986217
0,control_719,1781,1,normal,fi,280,2000,11,0,0,-68.77628142494741,-70.26526169686426
0,control_719,1781,1,normal,fi,300,2000,14,0,0,-68.77615795024415,-70.34065585498332
0,control_719,1781,1,normal,tburst,-50,2000,0,0,0,-68.77829630035825,-68.79660826430322
0,control_719,1781,1,normal,tburst,-100,2000,0,0,0,-68.77860180233662,-68.66476044335758
0,control_719,1781,1,normal,tburst,-150,2000,0,0,0,-68.77890830208922,-68.5593183767759
0,control_719,1781,1,normal,tburst,-200,2000,3,0,3,-68.77921186614185,-68.55656944561112
0,control_719,1781,1,normal,tburst,-250,2000,4,0,4,-68.77951819511817,-68.44878676490872
0,control_719,1781,1,normal,tburst,-300,2000,6,0,6,-68.77982378694692,-68.3288662102068
0,control_719,1781,1,normal,tburst,-50,500,0,0,0,-68.77829630035825,-68.87127656299981
0,control_719,1781,1,normal,tburst,-100,500,0,0,0,-68.77860180233662,-68.84428434519482
0,control_719,1781,1,normal,tburst,-150,500,0,0,0,-68.77890830208922,-68.82655095397716
0,control_719,1781,1,normal,tburst,-200,500,3,0,3,-68.77921186614185,-68.88653700560727
0,control_719,1781,1,normal,tburst,-250,500,4,0,4,-68.77951819511817,-68.86423075073066
0,control_719,1781,1,normal,tburst,-300,500,5,0,5,-68.7798237869469,-68.83802828747126
0,control_719,1781,1,normal,tburst,-50,200,0,0,0,-68.77829630035825,-68.88448447782636
0,control_719,1781,1,normal,tburst,-100,200,0,0,0,-68.77860180233662,-68.874910208472
0,control_719,1781,1,normal,tburst,-150,200,0,0,0,-68.77890830208922,-68.86672148685534
0,control_719,1781,1,normal,tburst,-200,200,1,0,1,-68.77921186614185,-68.9007240956871
0,control_719,1781,1,normal,tburst,-250,200,2,0,2,-68.77951819511817,-68.91009038628037
0,control_719,1781,1,normal,tburst,-300,200,3,0,3,-68.7798237869469,-68.90468981848699
0,control_719,1781,1,normal,rmih,-50,2000,0,0,0,-71.58645488151244,-71.53443846061107
0,control_719,1781,1,normal,rmih,-100,2000,0,0,0,-71.58676033383185,-71.37957633959682
0,control_719,1781,1,normal,rmih,-150,2000,0,0,0,-71.58706678625877,-71.24640769997093
0,control_719,1781,1,normal,rmih,-200,2000,3,0,3,-71.5873703009781,-71.26345535066868
0,control_719,2111,3,normal,fi,20,2000,0,0,0,-72.40294765901615,-72.68375397655277
0,control_719,2111,3,normal,fi,40,2000,0,0,0,-72.4027874069541,-72.89920409868175
0,control_719,2111,3,normal,fi,60,2000,0,0,0,-72.4026303742128,-73.1755062218048
0,control_719,2111,3,normal,fi,80,2000,9,0,0,-72.40247360592926,-73.71224150508307
0,control_719,2111,3,normal,fi,100,2000,17,0,0,-72.4023175771104,-74.09412397449611
0,control_719,2111,3,normal,fi,120,2000,24,0,0,-72.40216262973122,-74.30590070525517
0,control_719,2111,3,normal,fi,140,2000,36,0,0,-72.40200482823447,-74.42592217211076
0,control_719,2111,3,normal,fi,160,2000,27,0,0,-72.40184836861513,-74.54229497983141
0,control_719,2111,3,normal,fi,180,2000,40,0,0,-72.40169257612278,-74.64411856116949
0,control_719,2111,3,normal,fi,200,2000,40,0,0,-72.40153622140909,-74.70492710015351
0,control_719,2111,3,normal,fi,220,2000,37,0,0,-72.40138178606851,-74.77924546674979
0,control_719,2111,3,normal,fi,240,2000,47,0,0,-72.4012255508092,-74.82300024580294
0,control_719,2111,3,normal,fi,260,2000,47,0,0,-72.4010676222552,-74.8731111242835
0,control_719,2111,3,normal,fi,280,2000,52,0,0,-72.4009113900834,-74.92993015414862
0,control_719,2111,3,normal,fi,300,2000,52,0,0,-72.4007565411398,-74.95603976498137
0,control_719,2111,3,normal,tburst,-50,2000,0,0,0,-72.40349086814172,-72.07192703030174
0,control_719,2111,3,normal,tburst,-100,2000,2,0,2,-72.403882592175,-71.99253099062747
0,control_719,2111,3,normal,tburst,-150,2000,6,0,6,-72.40427338938159,-71.7368869701355
0,control_719,2111,3,normal,tburst,-200,2000,8,0,8,-72.40466404568895,-71.26347963213128
