,etype,cellid,seed,state,protocol,amplitude,duration,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim
0,control_719,1781,1,normal,fi,20,2000,0,0,0,-66.69212046514954,-66.88002220440309
0,control_719,1781,1,normal,fi,40,2000,0,0,0,-66.6919978533617,-66.9228701213396
0,control_719,1781,1,normal,fi,60,2000,0,0,0,-66.69187400749256,-66.97845688989365
0,control_719,1781,1,normal,fi,80,2000,0,0,0,-66.69175084691729,-67.031022962887
0,control_719,1781,1,normal,fi,100,2000,0,0,0,-66.6916286861024,-67.0852488416404
0,control_719,1781,1,normal,fi,120,2000,0,0,0,-66.69150597406559,-67.14653718277023
0,control_719,1781,1,normal,fi,140,2000,1,0,0,-66.69138336076276,-67.22682288887947
0,control_719,1781,1,normal,fi,160,2000,1,0,0,-66.69126171219857,-67.32567782917204
0,control_719,1781,1,normal,fi,180,2000,3,0,0,-66.69113872308424,-67.45804705115346
0,control_719,1781,1,normal,fi,200,2000,6,0,0,-66.69101881850257,-67.59327218774715
0,control_719,1781,1,normal,fi,220,2000,7,0,0,-66.69089664432086,-67.72905006431526
0,control_719,1781,1,normal,fi,240,2000,7,0,0,-66.69077241289074,-67.85434479379447
0,control_719,1781,1,normal,fi,260,2000,9,0,0,-66.69065232347388,-67.97077985004138
0,control_719,1781,1,normal,fi,280,2000,12,0,0,-66.69053052815036,-68.07360140967813
0,control_719,1781,1,normal,fi,300,2000,11,0,0,-66.69040709569354,-68.1694011907338
0,control_719,1781,1,normal,tburst,-50,2000,0,0,0,-66.69254473598835,-66.72277333840195
0,control_719,1781,1,normal,tburst,-100,2000,0,0,0,-66.69285013831576,-66.61601342931965
0,control_719,1781,1,normal,tburst,-150,2000,0,0,0,-66.69315653288723,-66.53752264865788
0,control_719,1781,1,normal,tburst,-200,2000,2,0,2,-66.69345998990033,-66.56891219686692
0,control_719,1781,1,normal,tburst,-250,2000,3,0,3,-66.69376621285242,-66.5371388841006
0,control_719,1781,1,normal,tburst,-300,2000,5,0,5,-66.69407169059495,-66.4273994468767
0,control_719,1781,1,normal,tburst,-50,500,0,0,0,-66.69254473598835,-66.79088158890752
0,control_719,1781,1,normal,tburst,-100,500,0,0,0,-66.69285013831576,-66.7696958523621
0,control_719,1781,1,normal,tburst,-150,500,0,0,0,-66.69315653288723,-66.75585997252817
0,control_719,1781,1,normal,tburst,-200,500,2,0,2,-66.69345998990033,-66.79416331037511
0,control_719,1781,1,normal,tburst,-250,500,3,0,3,-66.69376621285242,-66.79529617634962
0,control_719,1781,1,normal,tburst,-300,500,5,0,5,-66.69407169059495,-66.8103970521598
0,control_719,1781,1,normal,tburst,-50,200,0,0,0,-66.69254473598835,-66.79883891568466
0,control_719,1781,1,normal,tburst,-100,200,0,0,0,-66.69285013831576,-66.7903289566645
0,control_719,1781,1,normal,tburst,-150,200,0,0,0,-66.69315653288723,-66.78606891250473
0,control_719,1781,1,normal,tburst,-200,200,1,0,1,-66.69345998990033,-66.81230720750584
0,control_719,1781,1,normal,tburst,-250,200,2,0,2,-66.69376621285242,-66.82438349803428
0,control_719,1781,1,normal,tburst,-300,200,3,0,3,-66.69407169059495,-66.8291446537128
0,control_719,1781,1,normal,rmih,-50,2000,0,0,0,-71.95589711055037,-71.89189483058331
0,control_719,1781,1,normal,rmih,-100,2000,0,0,0,-71.95620246425534,-71.74422390673008
0,control_719,1781,1,normal,rmih,-150,2000,0,0,0,-71.95650881706402,-71.61648160471354
0,control_719,1781,1,normal,rmih,-200,2000,3,0,3,-71.95681222927902,-71.69732722184271
0,control_719,2111,3,normal,fi,20,2000,0,0,0,-69.91442548217731,-70.17314101624495
0,control_719,2111,3,normal,fi,40,2000,0,0,0,-69.91426530631291,-70.31765102235804
0,control_719,2111,3,normal,fi,60,2000,0,0,0,-69.91410840346795,-70.4682941458436
0,control_719,2111,3,normal,fi,80,2000,1,0,0,-69.91395176030927,-70.63716174230878
0,control_719,2111,3,normal,fi,100,2000,2,0,0,-69.91379586165627,-70.80995049392176
0,control_719,2111,3,normal,fi,120,2000,3,0,0,-69.91364104786861,-70.99593163644585
0,control_719,2111,3,normal,fi,140,2000,4,0,0,-69.91348336129732,-71.17653843309171
0,control_719,2111,3,normal,fi,160,2000,5,0,0,-69.91332701399286,-71.38058971302743
0,control_719,2111,3,normal,fi,180,2000,9,0,0,-69.913171326726,-71.65704856907774
0,control_719,2111,3,normal,fi,200,2000,12,0,0,-69.91301505877851,-71.76858249094535
0,control_719,2111,3,normal,fi,220,2000,15,0,0,-69.91286074120481,-71.91244661438398
0,control_719,2111,3,normal,fi,240,2000,20,0,0,-69.91270460987435,-72.05440857874962
0,control_719,2111,3,normal,fi,260,2000,21,0,0,-69.91254677416244,-72.14944284023956
0,control_719,2111,3,normal,fi,280,2000,25,0,0,-69.9123906172779,-72.22289600437182
0,control_719,2111,3,normal,fi,300,2000,28,0,0,-69.91223586875789,-72.3845690848143
