,etype,cellid,seed,state,protocol,amplitude,duration,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim
0,control,2831,0,normal,fi,20,2000,0,0,0,-67.91807969709848,-68.97797002134945
0,control,2831,0,normal,fi,40,2000,0,0,0,-67.91807969709848,-69.12700186222855
0,control,2831,0,normal,fi,60,2000,0,0,0,-67.91807969709848,-69.28170653040107
0,control,2831,0,normal,fi,80,2000,0,0,0,-67.91807969709848,-69.45060110658683
0,control,2831,0,normal,fi,100,2000,0,0,0,-67.91807969709848,-69.60488942731484
0,control,2831,0,normal,fi,120,2000,0,0,0,-67.91807969709848,-69.77152908018799
0,control,2831,0,normal,fi,140,2000,0,0,0,-67.91807969709848,-69.97224004885241
0,control,2831,0,normal,fi,160,2000,1,0,0,-67.91807969709848,-70.15564926601927
0,control,2831,0,normal,fi,180,2000,1,0,0,-67.91807969709848,-70.36113892604128
0,control,2831,0,normal,fi,200,2000,4,0,0,-67.91807969709848,-70.5910312306137
0,control,2831,0,normal,fi,220,2000,15,0,0,-67.91807969709848,-70.73512944903608
0,control,2831,0,normal,fi,240,2000,19,0,0,-67.91807969709848,-70.79180065535107
0,control,2831,0,normal,fi,260,2000,21,0,0,-67.91807969709848,-70.85141670925171
0,control,2831,0,normal,fi,280,2000,23,0,0,-67.91807969709848,-70.9325053030619
0,control,2831,0,normal,fi,300,2000,24,0,0,-67.91807969709848,-70.9926906245888
0,control,2831,0,normal,tburst,-50,2000,0,0,0,-67.91807969709848,-68.47583332062912
0,control,2831,0,normal,tburst,-100,2000,0,0,0,-67.91807969709848,-68.14433316501731
0,control,2831,0,normal,tburst,-150,2000,0,0,0,-67.91807969709848,-67.85982824901065
0,control,2831,0,normal,tburst,-200,2000,2,0,2,-67.91807969709848,-67.83786663929816
0,control,2831,0,normal,tburst,-250,2000,5,0,5,-67.91807969709848,-67.93243831996917
0,control,2831,0,normal,tburst,-300,2000,8,0,8,-67.91807969709848,-68.1137214176402
0,control,2831,0,normal,tburst,-50,500,0,0,0,-67.91807969709848,-68.59109571386713
0,control,2831,0,normal,tburst,-100,500,0,0,0,-67.91807969709848,-68.52081576525558
0,control,2831,0,normal,tburst,-150,500,0,0,0,-67.91807969709848,-68.46687377527327
0,control,2831,0,normal,tburst,-200,500,2,0,2,-67.91807969709848,-68.60955869722721
0,control,2831,0,normal,tburst,-250,500,5,0,5,-67.91807969709848,-68.65686616312935
0,control,2831,0,normal,tburst,-300,500,8,0,8,-67.91807969709848,-68.67437006333229
0,control,2831,0,normal,tburst,-50,200,0,0,0,-67.91807969709848,-68.59738880870992
0,control,2831,0,normal,tburst,-100,200,0,0,0,-67.91807969709848,-68.5709018485111
0,control,2831,0,normal,tburst,-150,200,0,0,0,-67.91807969709848,-68.5493083618311
0,control,2831,0,normal,tburst,-200,200,1,0,1,-67.91807969709848,-68.62029401872454
0,control,2831,0,normal,tburst,-250,200,2,0,2,-67.91807969709848,-68.65502053290672
0,control,2831,0,normal,tburst,-300,200,4,0,4,-67.91807969709848,-68.71046806690518
0,control,2831,0,normal,rmih,-50,2000,0,0,0,-73.52830814089226,-73.59618516088214
0,control,2831,0,normal,rmih,-100,2000,0,0,0,-73.52830814089226,-73.1594844467574
0,control,2831,0,normal,rmih,-150,2000,0,0,0,-73.52830814089226,-72.72889555926689
0,control,2831,0,normal,rmih,-200,2000,2,0,2,-73.52830814089226,-73.03383480321783
0,control,11866,0,normal,fi,20,2000,0,0,0,-66.94176689242965,-67.77922483585706
0,control,11866,0,normal,fi,40,2000,0,0,0,-66.94176689242965,-67.94771906786698
0,control,11866,0,normal,fi,60,2000,0,0,0,-66.94176689242965,-68.11460920456715
0,control,11866,0,normal,fi,80,2000,0,0,0,-66.94176689242965,-68.28965304664136
0,control,11866,0,normal,fi,100,2000,1,0,0,-66.94176689242965,-68.5031014458132
0,control,11866,0,normal,fi,120,2000,2,0,0,-66.94176689242965,-68.6993276424525
0,control,11866,0,normal,fi,140,2000,2,0,0,-66.94176689242965,-68.88373372720321
0,control,11866,0,normal,fi,160,2000,3,0,0,-66.94176689242965,-69.07245161689603
0,control,11866,0,normal,fi,180,2000,4,0,0,-66.94176689242965,-69.25531984648207
0,control,11866,0,normal,fi,200,2000,5,0,0,-66.94176689242965,-69.43805666637428
0,control,11866,0,normal,fi,220,2000,7,0,0,-66.94176689242965,-69.6296824612455
0,control,11866,0,normal,fi,240,2000,9,0,0,-66.94176689242965,-69.74700847351811
0,control,11866,0,normal,fi,260,2000,13,0,0,-66.94176689242965,-70.01271998554556
0,control,11866,0,normal,fi,280,2000,16,0,0,-66.94176689242965,-70.08580314242721
0,control,11866,0,normal,fi,300,2000,17,0,0,-66.94176689242965,-70.10258026836011
0,control,11866,0,normal,tburst,-50,2000,0,0,0,-66.94176689242965,-67.21752674125385
0,control,11866,0,normal,tburst,-100,2000,0,0,0,-66.94176689242965,-66.89738602793507
0,control,11866,0,normal,tburst,-150,2000,2,0,2,-66.94176689242965,-67.18207910447447
0,control,11866,0,normal,tburst,-200,2000,3,0,3,-66.94176689242965,-67.02870129711398
0,control,11866,0,normal,tburst,-250,2000,4,0,4,-66.94176689242965,-66.85439140664496
0,control,11866,0,normal,tburst,-300,2000,4,0,4,-66.94176689242965,-66.74170777096661
0,control,11866,0,normal,tburst,-50,500,0,0,0,-66.94176689242965,-67.41495002031279
0,control,11866,0,normal,tburst,-100,500,0,0,0,-66.94176689242965,-67.34889109809437
0,control,11866,0,normal,tburst,-150,500,2,0,2,-66.94176689242965,-67.47482227457861
0,control,11866,0,normal,tburst,-200,500,3,0,3,-66.94176689242965,-67.4386164514927
0,control,11866,0,normal,tburst,-250,500,4,0,4,-66.94176689242965,-67.34015199788946
0,control,11866,0,normal,tburst,-300,500,4,0,4,-66.94176689242965,-67.10469239694072
0,control,11866,0,normal,tburst,-50,200,0,0,0,-66.94176689242965,-67.4301251243634
0,control,11866,0,normal,tburst,-100,200,0,0,0,-66.94176689242965,-67.40841767786127
0,control,11866,0,normal,tburst,-150,200,1,0,1,-66.94176689242965,-67.48214675737955
